timestamp,Traffic_bps,Traffic_bps_scaled,Traffic_Mbps_scaled,Traffic_Predicted_Mbps,Traffic_Prediction_Uncertainty
2019-04-18 07:30,492750771,95396549.2656,95.3965492656,81.03987121582031,129.78328005921213
2019-04-18 07:45,559125776,108246750.2336,108.2467502336,85.98033905029297,129.78328005921213
2019-04-18 08:00,732819104,141873778.5344,141.87377853439995,91.27007293701172,129.78328005921213
2019-04-18 08:15,758868909,146917020.78239998,146.9170207824,98.85395812988281,129.78328005921213
2019-04-18 08:30,723088216,139989878.6176,139.9898786176,108.37126159667969,129.78328005921213
2019-04-18 08:45,737298100,142740912.16,142.74091216,116.59906005859375,129.78328005921213
2019-04-18 09:00,642263188,124342153.1968,124.3421531968,123.32427978515625,129.78328005921213
2019-04-18 09:15,708533401,137172066.4336,137.1720664336,127.05133819580078,129.78328005921213
2019-04-18 09:30,640704886,124040465.9296,124.0404659296,129.3430633544922,129.78328005921213
2019-04-18 09:45,577129624,111732295.2064,111.7322952064,129.43408203125,129.78328005921213
2019-04-18 10:00,566411120,109657192.832,109.657192832,127.2503890991211,129.78328005921213
2019-04-18 10:15,598839993,115935422.6448,115.9354226448,123.79397583007812,129.78328005921213
2019-04-18 10:30,655392248,126883939.2128,126.8839392128,120.49198150634766,129.78328005921213
2019-04-18 10:45,725026136,140365059.9296,140.3650599296,118.2819595336914,129.78328005921213
2019-04-18 11:00,699214559,135367938.6224,135.36793862239998,117.84725952148438,129.78328005921213
2019-04-18 11:15,667435511,129215514.9296,129.2155149296,118.05757141113281,129.78328005921213
2019-04-18 11:30,664350248,128618208.0128,128.61820801279998,118.1466064453125,129.78328005921213
2019-04-18 11:45,687118437,133026129.4032,133.0261294032,118.05020141601562,129.78328005921213
2019-04-18 12:00,778443000,150706564.79999998,150.7065648,118.13957214355469,129.78328005921213
2019-04-18 12:15,799242385,154733325.736,154.733325736,119.57454681396484,129.78328005921213
2019-04-18 12:30,841279423,162871696.2928,162.8716962928,121.83756256103516,129.78328005921213
2019-04-18 12:45,872842101,168982230.7536,168.9822307536,124.89351654052734,129.21089505804622
2019-04-18 13:00,780863154,151175106.6144,151.1751066144,128.4627685546875,129.16075268818355
2019-04-18 13:15,767115220,148513506.592,148.513506592,130.5020294189453,128.9561491719196
2019-04-18 13:30,881508783,170660100.3888,170.6601003888,131.19073486328125,128.62775262537838
2019-04-18 13:45,881754860,170707740.896,170.707740896,132.66949462890625,128.2247263977924
2019-04-18 14:00,872274397,168872323.2592,168.87232325920002,134.3013153076172,127.54895445900091
2019-04-18 14:15,865561414,167572689.7504,167.5726897504,135.65771484375,127.55816668926738
2019-04-18 14:30,901159638,174464505.9168,174.4645059168,136.53848266601562,127.75101016254071
2019-04-18 14:45,853851484,165305647.3024,165.3056473024,137.52108764648438,127.75559858453002
2019-04-18 15:00,744950159,144222350.78239998,144.2223507824,137.64710998535156,127.75559858453002
2019-04-18 15:15,770482739,149165458.2704,149.1654582704,135.6395263671875,127.75559858453002
2019-04-18 15:30,822870703,159307768.1008,159.30776810080002,133.0165557861328,127.75559858453002
2019-04-18 15:45,875315667,169461113.1312,169.4611131312,131.0326690673828,127.7714752323388
2019-04-18 16:00,815202042,157823115.3312,157.8231153312,130.36212158203125,127.7714752323388
2019-04-18 16:15,827344990,160173990.06399998,160.17399006399998,129.57652282714844,127.7714752323388
2019-04-18 16:30,836980043,162039336.32479998,162.0393363248,129.0101318359375,127.7714752323388
2019-04-18 16:45,900363000,174310276.79999998,174.31027679999997,128.74212646484375,127.92973450696773
2019-04-18 17:00,926648745,179399197.032,179.39919703200002,129.5836639404297,127.83295300973808
2019-04-18 17:15,987671859,191213271.9024,191.2132719024,131.3258514404297,127.55816668926738
2019-04-18 17:30,1040336846,201409213.3856,201.4092133856,134.26231384277344,127.65092594511309
2019-04-18 17:45,1000091452,193617705.1072,193.6177051072,138.3039093017578,127.66099924171688
2019-04-18 18:00,1047032210,202705435.856,202.705435856,141.84420776367188,128.0569364163065
2019-04-18 18:15,1118636077,216567944.5072,216.5679445072,145.40162658691406,128.43694976137022
2019-04-18 18:30,970250305,187840459.048,187.840459048,149.57814025878906,128.570167339641
2019-04-18 18:45,1012922662,196101827.3632,196.1018273632,151.22653198242188,129.18150084828434
2019-04-18 19:00,945291615,183008456.664,183.008456664,151.94403076171875,129.18766985779698
2019-04-18 19:15,913735795,176899249.912,176.899249912,150.8990478515625,129.35652142791793
2019-04-18 19:30,879764417,170322391.1312,170.3223911312,148.46759033203125,129.14670433191293
2019-04-18 19:45,1018435387,197169090.9232,197.1690909232,144.97808837890625,129.6551345155311
2019-04-18 20:00,957857662,185441243.3632,185.4412433632,143.39508056640625,130.09618920711077
2019-04-18 20:15,916021447,177341752.1392,177.3417521392,142.0132598876953,130.15567355696197
2019-04-18 20:30,893314266,172945641.8976,172.94564189759998,140.31964111328125,129.8605283255567
2019-04-18 20:45,839351397,162498430.4592,162.4984304592,138.29039001464844,129.8605283255567
2019-04-18 21:00,872791375,168972410.2,168.97241019999998,135.4803009033203,129.61497107883798
2019-04-18 21:15,863426719,167159412.79839998,167.15941279839998,133.0792999267578,128.9547926975526
2019-04-18 21:30,875630077,169521982.9072,169.5219829072,131.00277709960938,128.92587030496185
2019-04-18 21:45,938833922,181758247.2992,181.7582472992,129.56834411621094,128.8203719854954
2019-04-18 22:00,908803367,175944331.85119998,175.9443318512,129.6002197265625,127.53121413336612
2019-04-18 22:15,939999519,181983906.8784,181.9839068784,129.99588012695312,126.59784181456263
2019-04-18 22:30,993397646,192321784.2656,192.3217842656,131.0697479248047,126.497545279408
2019-04-18 22:45,930222373,180091051.41279998,180.09105141279997,133.2176055908203,126.12493946393114
2019-04-18 23:00,949969868,183914166.4448,183.9141664448,134.73721313476562,125.91768197607955
