Actual_Traffic,Predicted_Traffic,UPF_Config,Energy_Wh_Actual,QoS_Score_Actual
290.775,173.5078,"('DPDK', 1)",0.20537540316581726,0.9750306010246277
319.28912,184.44478,"('DPDK', 1)",0.2054038643836975,0.9748297929763794
306.79672,196.21399,"('DPDK', 1)",0.20539171993732452,0.9749155640602112
328.66425,205.61783,"('DPDK', 1)",0.20541267096996307,0.9747689366340637
265.40518,214.42374,"('DPDK', 1)",0.20534707605838776,0.9752013683319092
239.59126,215.90271,"('DPDK', 1)",0.20531241595745087,0.9753218293190002
241.27301,211.07204,"('DPDK', 1)",0.2053147852420807,0.9753230810165405
194.81544,203.41605,"('DPDK', 1)",0.20524239540100098,0.9752799868583679
155.04216,190.95915,"('DPDK', 1)",0.20516321063041687,0.9752432703971863
162.71187,174.20079,"('DPDK', 1)",0.20518063008785248,0.9752508997917175
150.38388,157.79584,"('DPDK', 1)",0.20515216886997223,0.9752388000488281
140.64842,142.267,"('DPDK', 1)",0.20512595772743225,0.9751944541931152
135.4528,128.11267,"('DPDK', 1)",0.20511025190353394,0.9751518368721008
119.32405,115.7791,"('DPDK', 1)",0.20504797995090485,0.9749968647956848
83.31167,104.85489,"('OAI', 1)",0.1877215951681137,0.9303730130195618
80.40553,93.072266,"('OAI', 1)",0.18081973493099213,0.9311501383781433
74.489586,82.169014,"('OAI', 1)",0.16792264580726624,0.9328052997589111
54.762165,72.73556,"('OAI', 1)",0.12635086476802826,0.9352706670761108
59.223022,63.751873,"('OAI', 1)",0.13682736456394196,0.9356563091278076
53.618916,56.537556,"('OAI', 1)",0.12337256222963333,0.9351572394371033
55.065426,51.12442,"('OAI', 1)",0.1271255910396576,0.9352985620498657
50.95166,47.593014,"('OAI', 1)",0.11617148667573929,0.9348692893981934
49.909725,45.392776,"('OAI', 1)",0.1131659522652626,0.9347221851348877
33.689598,44.333397,"('OAI', 1)",0.06702392548322678,0.9297435283660889
36.130592,43.154583,"('OAI', 1)",0.0755818709731102,0.9312630295753479
94.31413,42.456753,"('DPDK', 1)",0.20492634177207947,0.9748479723930359
69.679634,46.492237,"('OAI', 1)",0.159111887216568,0.9340530633926392
40.35557,51.566177,"('OAI', 1)",0.08063607662916183,0.9332592487335205
47.79619,54.488663,"('OAI', 1)",0.1064305379986763,0.9344168901443481
