timesteps,ep_return,ep_len,sec_mean,power_mean,perf_mean,qos_violation_rate,switches,scale_events,frac_time_oai,mean_k
188240,-2216.0045034587383,2353,0.007539865272586688,0.7742354539775159,0.961705409360854,0.27709307267318317,197,0,0.27709307267318317,1.0
188240,-2114.1653498113155,2353,0.00741811469335804,0.7609114934928966,0.9637690309610866,0.2358691032724182,165,0,0.2358691032724182,1.0
188240,-2187.6031082570553,2353,0.007526753023144094,0.7775025679312307,0.9625272954265158,0.25839354016149596,186,0,0.25839354016149596,1.0
188240,-2129.951669216156,2353,0.007264739846437853,0.767930191626105,0.9624642432369276,0.26136846578835526,162,0,0.26136846578835526,1.0
197652,-2142.2982642948627,2353,0.0073129619119266945,0.7640706523397959,0.962274744036448,0.26774330641733957,170,0,0.26774330641733957,1.0
197652,-2251.0156622231007,2353,0.0076480914439445566,0.7926797539540367,0.9617220186903483,0.2702932426689333,196,0,0.2702932426689333,1.0
197652,-2119.3345210254192,2353,0.007282905527867482,0.7640546149666442,0.9627780406413259,0.2566935826604335,156,0,0.2566935826604335,1.0
197652,-2106.0420300513506,2353,0.007161361104094325,0.7661641808808534,0.9624547824117917,0.2626434339141521,148,0,0.2626434339141521,1.0
207064,-2121.429299503565,2353,0.007294445540645162,0.7669482835292614,0.9629274917266949,0.25116872078198044,154,0,0.25116872078198044,1.0
207064,-2054.533246129751,2353,0.0071692879792046365,0.756590933405588,0.9639596236902148,0.231619209519762,132,0,0.231619209519762,1.0
207064,-2112.2050667107105,2353,0.007328102649421076,0.7692359513138083,0.9634952235870345,0.23756906077348067,154,0,0.23756906077348067,1.0
207064,-2078.847092539072,2353,0.0072055020710177125,0.75601678271016,0.9634135223377324,0.24436889077773055,140,0,0.24436889077773055,1.0
216476,-2131.30147716403,2353,0.007246859790915619,0.7738098463402168,0.9624345644554887,0.2596685082872928,142,0,0.2596685082872928,1.0
216476,-2120.6899012625217,2353,0.007203031315369697,0.7674623470685353,0.962318139384262,0.26476838079048026,142,0,0.26476838079048026,1.0
216476,-2217.9146429896355,2353,0.007359301250054324,0.7853580130144631,0.960839642573558,0.2894177645558861,174,0,0.2894177645558861,1.0
216476,-2181.332175284624,2353,0.0072508825450705,0.7841157014198725,0.9611800435092973,0.28304292392690183,164,0,0.28304292392690183,1.0
225888,-2037.645719885826,2353,0.007041892637722305,0.7520802132484511,0.963476385352868,0.24479388015299616,112,0,0.24479388015299616,1.0
225888,-2032.1940766572952,2353,0.007020101426553204,0.753081208307896,0.963565855065762,0.24181895452613686,116,0,0.24181895452613686,1.0
225888,-2001.9461508393288,2353,0.006953924554536698,0.74519454604557,0.9638440919793823,0.23926901827454314,101,0,0.23926901827454314,1.0
225888,-2037.9084551930428,2353,0.007031378101045325,0.7537790340309289,0.9634764707954803,0.24351891202719933,112,0,0.24351891202719933,1.0
235300,-2047.6344270706177,2353,0.007120838634989589,0.7514623341994037,0.9637115284629543,0.23926901827454314,123,0,0.23926901827454314,1.0
235300,-2092.378583431244,2353,0.007258495675495684,0.7615186323574438,0.9633948122041559,0.24394390140246494,138,0,0.24394390140246494,1.0
235300,-2066.1743420660496,2353,0.007234617309384381,0.7567330395673824,0.9639323971345483,0.23374415639609009,126,0,0.23374415639609009,1.0
235300,-2047.7058493196964,2353,0.007219707198805958,0.7521409543584977,0.9643021062288799,0.2273693157671058,122,0,0.2273693157671058,1.0
244712,-2216.06000906229,2353,0.007440561581841566,0.7866296118186273,0.9613748587702773,0.27879303017424567,182,0,0.27879303017424567,1.0
244712,-2130.9389343857765,2353,0.00742498594401519,0.7691500859467263,0.9634512904801877,0.24011899702507436,136,0,0.24011899702507436,1.0
244712,-2155.033608868718,2353,0.007395487849545596,0.7749400058554631,0.9626701529158768,0.254993625159371,154,0,0.254993625159371,1.0
244712,-2131.93965741992,2353,0.007332363869651322,0.7722617962793041,0.9629141724823993,0.2503187420314492,151,0,0.2503187420314492,1.0
254124,-2338.2560127973557,2353,0.007535449615582709,0.8247340235414274,0.9590707698680977,0.31576710582235445,204,0,0.31576710582235445,1.0
254124,-2349.3310249596834,2353,0.00749520796170649,0.8227846518608544,0.9584338597120552,0.33021674458138545,207,0,0.33021674458138545,1.0
254124,-2278.6612560153008,2353,0.0073492929906989225,0.8172164794439161,0.9595256809016972,0.3081172970675733,181,0,0.3081172970675733,1.0
254124,-2290.0953858345747,2353,0.007419335334674568,0.8108693095556584,0.9594527377861386,0.3127921801954951,197,0,0.3127921801954951,1.0
263536,-2248.745353192091,2353,0.0074323196638149125,0.7922851811608405,0.960314716423414,0.30216744581385463,185,0,0.30216744581385463,1.0
263536,-2262.4780879616737,2353,0.007354860109721555,0.7890035621267757,0.9594093275434962,0.3217169570760731,204,0,0.3217169570760731,1.0
263536,-2234.297663807869,2353,0.007279198582902,0.7881409940798638,0.9598292767672248,0.31151721206969823,190,0,0.31151721206969823,1.0
263536,-2262.9770757853985,2353,0.007418596282715347,0.7896298014048663,0.9597961193594181,0.31321716957076073,189,0,0.31321716957076073,1.0
272948,-2201.803201198578,2353,0.0075058137926344685,0.7765236009043731,0.961863877390275,0.27411814704632387,171,0,0.27411814704632387,1.0
272948,-2180.6966645121574,2353,0.00725538650910733,0.7731438826815503,0.9609728434265192,0.2919677008074798,178,0,0.2919677008074798,1.0
272948,-2172.6400130987167,2353,0.007301463077321357,0.7742229192701746,0.9614673371118432,0.2821929451763706,175,0,0.2821929451763706,1.0
272948,-2233.9880627691746,2353,0.007381716653462413,0.7808616162106375,0.960268149693064,0.3059923501912452,196,0,0.3059923501912452,1.0
