timesteps,ep_return,ep_len,sec_mean,power_mean,perf_mean,qos_violation_rate,switches,scale_events,frac_time_oai,mean_k
131768,-2357.4779731184244,2353,0.0075499081198099165,0.7905882123020219,0.9578150788419458,0.3565660858478538,199,87,0.3565660858478538,1.532777115613826
141180,-2443.43180821836,2353,0.007794822102034194,0.8231486010895959,0.9572446230772045,0.36209094772630684,225,84,0.36209094772630684,1.5246478873239437
141180,-2408.3798884153366,2353,0.00802563304399982,0.8155397861955321,0.9596740595847558,0.310667233319167,202,65,0.310667233319167,1.4856361149110806
141180,-2306.5749633312225,2353,0.007427381246306771,0.7828599263696634,0.9584383688933586,0.34509137271568213,184,92,0.34509137271568213,1.5073891625615763
141180,-2375.537960395217,2353,0.007677827139711185,0.8093162254733934,0.9581547920064525,0.3484912877178071,204,85,0.3484912877178071,1.526829268292683
150592,-2485.6127487421036,2353,0.007860218499214425,0.8387252167342218,0.956381042384615,0.38079048023799406,208,97,0.38079048023799406,1.484375
150592,-2376.021964892745,2353,0.007494878957164424,0.8090245886604887,0.9568930143404148,0.3773905652358691,206,96,0.3773905652358691,1.5191441441441442
150592,-2443.249670729041,2353,0.007989239177591007,0.8231488123529777,0.9583098689292878,0.3421164470888228,187,89,0.3421164470888228,1.5565217391304347
150592,-2390.1008165180683,2353,0.007874954204649743,0.8223605397099188,0.9590003967690458,0.33021674458138545,206,72,0.33021674458138545,1.5521235521235521
160004,-2454.791209548712,2353,0.007863765373656623,0.8366328993858908,0.9570279712885732,0.3731406714832129,237,80,0.3731406714832129,1.5330296127562641
160004,-2385.6171177625656,2353,0.008644793854930976,0.8336697374310232,0.964160780905664,0.21674458138546537,144,45,0.21674458138546537,1.6019607843137256
160004,-2343.7491679489613,2353,0.007957980848525845,0.805590015165967,0.9608832553402697,0.2898427539311517,175,66,0.2898427539311517,1.5542521994134897
160004,-2491.7601947784424,2353,0.00798250658525082,0.8344324515365409,0.9568932057693569,0.3718657033574161,237,78,0.3718657033574161,1.4994285714285713
169416,-2420.887446910143,2353,0.007775235572294322,0.8191750425254848,0.9572604572170094,0.3710157246068848,229,81,0.3710157246068848,1.4902634593356243
169416,-2466.64925070107,2353,0.007715723549438933,0.8330061675080633,0.9557952333195788,0.39864003399915005,237,96,0.39864003399915005,1.5053304904051172
169416,-2528.3575019091368,2353,0.007983906325281356,0.846674883892523,0.9557928411290841,0.3965150871228219,264,78,0.3965150871228219,1.4855305466237942
169416,-2465.1619247049093,2353,0.007724870396960057,0.8350528892029917,0.9560332367939995,0.3905652358691033,228,94,0.3905652358691033,1.5048966267682264
178828,-2600.830982670188,2353,0.008110113226528775,0.864681646791459,0.9546745205959056,0.416489587760306,279,83,0.416489587760306,1.4979591836734694
178828,-2617.7380482256413,2353,0.008151272560518886,0.8884517678898343,0.9543565134013201,0.4258393540161496,290,82,0.4258393540161496,1.5698602794411178
178828,-2550.0701916366816,2353,0.008060121241609831,0.858664618696601,0.9556174486229585,0.4003399915002125,272,76,0.4003399915002125,1.4989384288747345
178828,-2549.1065574735403,2353,0.007921619500780436,0.8589332979687011,0.9549138978142664,0.41393965150871226,301,72,0.41393965150871226,1.5297741273100616
