step,actual_traffic_mbps,predicted_traffic_mbps,upf_config,power_w,energy_wh,qos,sec,qos_violation,type_switch,scale_event,cooldown_blocked
155,50.3905,,1xOAI,0.458454,0.114614,0.934791,0.00909804,0,0,0,0
156,36.2484,,1xOAI,0.303555,0.075889,0.931331,0.00837429,0,0,0,0
157,29.9669,,1xOAI,0.227926,0.056982,0.927211,0.00760595,0,0,0,0
158,27.7518,,1xOAI,0.224868,0.056217,0.925621,0.00810284,0,0,0,0
159,26.5677,,1xOAI,0.237158,0.059289,0.924719,0.00892653,0,0,0,0
160,26.1104,,1xOAI,0.242184,0.060546,0.924359,0.00927539,0,0,0,0
161,25.2476,,1xOAI,0.249391,0.062348,0.923599,0.00987781,0,0,0,0
162,25.9751,,1xOAI,0.243693,0.060923,0.92424,0.00938181,0,0,0,0
163,24.8654,,1xOAI,0.248302,0.062076,0.923245,0.00998588,0,0,0,0
164,25.318,,1xOAI,0.248986,0.062247,0.923664,0.00983437,0,0,0,0
165,25.9946,,1xOAI,0.243488,0.060872,0.924264,0.00936688,0,0,0,0
166,24.5965,,1xOAI,0.245863,0.061466,0.923007,0.00999586,0,0,0,0
167,24.5353,,1xOAI,0.244629,0.061157,0.922952,0.00997052,0,0,0,0
168,17.4348,,1xOAI,0.1876,0.0469,0.921212,0.01076009,0,0,0,0
169,27.9723,,1xOAI,0.225186,0.056297,0.925793,0.00805033,0,0,0,0
170,30.1828,,1xOAI,0.228288,0.057072,0.927362,0.0075635,0,0,0,0
171,48.1467,,1xOAI,0.430332,0.107583,0.934455,0.00893793,0,0,0,0
172,50.1817,,1xOAI,0.45607,0.114018,0.934756,0.00908837,0,0,0,0
173,70.1027,,1xOAI,0.639598,0.159899,0.93395,0.00912372,0,0,0,0
174,88.5354,,1xOAI,0.802004,0.200501,0.929087,0.00905857,0,0,0,0
175,125.4135,,1xOAI,1.146999,0.28675,0.921366,0.00914574,0,0,0,0
176,115.9385,,1xOAI,1.060198,0.265049,0.923413,0.00914448,0,0,0,0
177,132.1219,,1xOAI,1.206572,0.301643,0.920901,0.00913227,0,0,0,0
178,154.9087,,1xOAI,1.415601,0.3539,0.91964,0.00913829,0,0,0,0
179,183.3662,,DPDK,0.820888,0.205222,0.97527,0.00447677,0,1,0,0
180,153.5326,,DPDK,0.820639,0.20516,0.975244,0.00534504,0,0,0,1
181,150.0945,,DPDK,0.820606,0.205151,0.975238,0.00546726,0,0,0,1
182,138.5827,,DPDK,0.82048,0.20512,0.97518,0.00592051,0,0,0,1
183,117.4207,,2xOAI,1.085484,0.271371,0.935614,0.0092444,0,1,0,0
184,109.4596,,2xOAI,1.010121,0.25253,0.935277,0.00922826,0,0,0,0
185,122.2857,,2xOAI,1.127855,0.281964,0.935794,0.00922311,0,0,0,0
186,120.5058,,2xOAI,1.112286,0.278072,0.935721,0.00923015,0,0,0,0
187,122.748,,DPDK,0.820252,0.205063,0.975033,0.00668241,0,1,0,0
188,119.8609,,DPDK,0.820201,0.20505,0.975001,0.00684294,0,0,0,1
189,121.7882,,DPDK,0.820235,0.205059,0.975022,0.00673493,0,0,0,1
190,127.4531,,DPDK,0.820333,0.205083,0.975081,0.00643635,0,0,0,0
191,140.3041,,DPDK,0.8205,0.205125,0.975192,0.00584801,0,0,0,0
192,128.8112,,DPDK,0.820355,0.205089,0.975092,0.00636866,0,0,0,0
193,127.7868,,DPDK,0.820338,0.205085,0.975081,0.00641959,0,0,0,0
194,152.4733,,DPDK,0.820629,0.205157,0.975245,0.00538211,0,0,0,0
195,153.6431,,DPDK,0.82064,0.20516,0.975242,0.00534121,0,0,0,0
196,167.2579,,DPDK,0.820762,0.205191,0.975258,0.00490716,0,0,0,0
197,155.9624,,DPDK,0.820661,0.205165,0.975246,0.00526192,0,0,0,0
198,171.8373,,DPDK,0.8208,0.2052,0.975257,0.00477661,0,0,0,0
199,173.6721,,DPDK,0.820814,0.205204,0.975257,0.00472623,0,0,0,0
200,171.3326,,DPDK,0.820796,0.205199,0.975257,0.00479066,0,0,0,0
201,150.7769,,DPDK,0.820613,0.205153,0.975241,0.00544256,0,0,0,0
202,153.3872,,DPDK,0.820637,0.205159,0.975244,0.0053501,0,0,0,0
203,141.7034,,DPDK,0.820516,0.205129,0.975203,0.00579037,0,0,0,0
204,126.5011,,DPDK,0.820316,0.205079,0.97507,0.00648466,0,0,0,0
205,139.2418,,DPDK,0.820488,0.205122,0.975181,0.00589254,0,0,0,0
206,139.2457,,DPDK,0.820488,0.205122,0.975181,0.00589238,0,0,0,0
207,123.4665,,DPDK,0.820265,0.205066,0.975041,0.00664362,0,0,0,0
