step,actual_traffic_mbps,predicted_traffic_mbps,upf_config,power_w,energy_wh,qos,sec,qos_violation,type_switch,scale_event,cooldown_blocked
155,50.3905,53.913,2xOAI,0.498982,0.124745,0.923556,0.00990231,0,0,0,0
156,36.2484,50.1997,2xOAI,0.387894,0.096974,0.921115,0.010701,0,0,0,0
157,29.9669,47.1206,2xOAI,0.325885,0.081471,0.920203,0.01087483,0,0,0,0
158,27.7518,44.8394,2xOAI,0.300886,0.075222,0.919251,0.01084206,0,0,0,0
159,26.5677,43.3775,2xOAI,0.286888,0.071722,0.918594,0.01079835,0,0,0,0
160,26.1104,42.6787,2xOAI,0.281247,0.070312,0.918324,0.01077145,0,0,0,0
161,25.2476,42.8099,2xOAI,0.270518,0.067629,0.917778,0.0107146,0,0,0,0
162,25.9751,43.8497,2xOAI,0.279539,0.069885,0.918238,0.0107618,0,0,0,0
163,24.8654,45.421,2xOAI,0.265558,0.06639,0.917548,0.01067986,0,0,0,0
164,25.318,47.8607,2xOAI,0.271408,0.067852,0.917835,0.01071996,0,0,0,0
165,25.9946,50.9181,2xOAI,0.279816,0.069954,0.91825,0.01076441,0,0,0,0
166,24.5965,54.0711,2xOAI,0.262222,0.065555,0.917405,0.01066095,0,0,0,0
167,24.5353,56.9159,2xOAI,0.261412,0.065353,0.917356,0.01065456,0,0,0,0
168,17.4348,60.0217,2xOAI,0.167855,0.041964,0.912347,0.00962759,0,0,0,0
169,27.9723,63.167,2xOAI,0.303474,0.075868,0.919391,0.01084908,0,0,0,0
170,30.1828,67.0579,2xOAI,0.328154,0.082038,0.920281,0.01087222,0,0,0,0
171,48.1467,71.1871,2xOAI,0.470666,0.117667,0.922514,0.00977567,0,0,0,0
172,50.1817,75.7401,2xOAI,0.498269,0.124567,0.923451,0.0099293,0,0,0,0
173,70.1027,81.0395,2xOAI,0.581557,0.145389,0.930606,0.00829579,0,0,0,0
174,88.5354,87.9818,2xOAI,0.754828,0.188707,0.933866,0.00852572,0,0,0,0
175,125.4135,94.5885,2xOAI,1.157704,0.289426,0.935908,0.0092311,0,0,0,0
176,115.9385,103.1798,2xOAI,1.072386,0.268097,0.93557,0.00924961,0,0,0,0
177,132.1219,112.8252,2xOAI,1.216073,0.304018,0.935047,0.00920418,0,0,0,0
178,154.9087,123.6819,2xOAI,1.391288,0.347822,0.93196,0.00898134,0,0,0,0
179,183.3662,131.9366,2xOAI,1.660915,0.415229,0.928394,0.00905791,0,0,0,0
180,153.5326,137.2732,1xOAI,1.402335,0.350584,0.919697,0.00913379,0,0,1,0
181,150.0945,139.2607,1xOAI,1.368304,0.342076,0.919868,0.00911629,0,0,0,0
182,138.5827,137.4044,1xOAI,1.261427,0.315357,0.92049,0.00910234,0,0,0,0
183,117.4207,132.9374,1xOAI,1.073762,0.26844,0.922972,0.00914457,0,0,0,0
184,109.4596,128.4396,DPDK,0.820012,0.205003,0.974996,0.00749146,0,1,0,0
185,122.2857,124.0882,DPDK,0.820244,0.205061,0.975029,0.0067076,0,0,0,0
186,120.5058,120.409,DPDK,0.820213,0.205053,0.975006,0.00680642,0,0,0,0
187,122.748,117.2557,DPDK,0.820252,0.205063,0.975033,0.00668241,0,0,0,0
188,119.8609,114.8724,DPDK,0.820201,0.20505,0.975001,0.00684294,0,0,0,0
189,121.7882,113.5566,DPDK,0.820235,0.205059,0.975022,0.00673493,0,0,0,0
190,127.4531,113.9199,DPDK,0.820333,0.205083,0.975081,0.00643635,0,0,0,0
191,140.3041,114.2985,DPDK,0.8205,0.205125,0.975192,0.00584801,0,0,0,0
192,128.8112,114.5701,DPDK,0.820355,0.205089,0.975092,0.00636866,0,0,0,0
193,127.7868,116.5353,DPDK,0.820338,0.205085,0.975081,0.00641959,0,0,0,0
194,152.4733,119.2764,DPDK,0.820629,0.205157,0.975245,0.00538211,0,0,0,0
195,153.6431,123.1428,DPDK,0.82064,0.20516,0.975242,0.00534121,0,0,0,0
196,167.2579,126.2969,DPDK,0.820762,0.205191,0.975258,0.00490716,0,0,0,0
197,155.9624,129.8786,DPDK,0.820661,0.205165,0.975246,0.00526192,0,0,0,0
198,171.8373,133.3265,DPDK,0.8208,0.2052,0.975257,0.00477661,0,0,0,0
199,173.6721,136.0991,DPDK,0.820814,0.205204,0.975257,0.00472623,0,0,0,0
200,171.3326,136.4949,DPDK,0.820796,0.205199,0.975257,0.00479066,0,0,0,0
201,150.7769,135.6964,DPDK,0.820613,0.205153,0.975241,0.00544256,0,0,0,0
202,153.3872,133.3134,DPDK,0.820637,0.205159,0.975244,0.0053501,0,0,0,0
203,141.7034,129.135,DPDK,0.820516,0.205129,0.975203,0.00579037,0,0,0,0
204,126.5011,125.35,DPDK,0.820316,0.205079,0.97507,0.00648466,0,0,0,0
205,139.2418,122.1509,DPDK,0.820488,0.205122,0.975181,0.00589254,0,0,0,0
206,139.2457,118.4539,DPDK,0.820488,0.205122,0.975181,0.00589238,0,0,0,0
207,123.4665,116.1292,DPDK,0.820265,0.205066,0.975041,0.00664362,0,0,0,0
208,139.7926,114.468,DPDK,0.820494,0.205124,0.975187,0.00586937,0,0,0,0
209,135.1352,114.2809,DPDK,0.820437,0.205109,0.975147,0.00607123,0,0,0,0
210,146.9391,115.4801,DPDK,0.820572,0.205143,0.975239,0.00558444,0,0,0,0
211,153.9989,117.1986,DPDK,0.820643,0.205161,0.975246,0.00532889,0,0,0,0
212,152.3141,120.5395,DPDK,0.820627,0.205157,0.975244,0.00538773,0,0,0,0
213,171.964,126.5968,DPDK,0.820801,0.2052,0.975259,0.0047731,0,0,0,0
214,200.9314,134.4418,DPDK,0.821011,0.205253,0.975286,0.00408603,0,0,0,0
215,212.9693,139.6828,DPDK,0.82109,0.205273,0.975301,0.00385544,0,0,0,0
216,178.9789,144.6011,DPDK,0.820855,0.205214,0.975262,0.00458632,0,0,0,0
217,200.6131,148.4341,DPDK,0.821009,0.205252,0.975285,0.0040925,0,0,0,0
218,198.4043,152.6292,DPDK,0.820994,0.205249,0.975285,0.00413799,0,0,0,0
219,216.9965,154.9952,DPDK,0.821116,0.205279,0.975304,0.003784,0,0,0,0
220,199.5061,155.9376,DPDK,0.821002,0.20525,0.975287,0.00411517,0,0,0,0
221,198.0701,154.7541,DPDK,0.820992,0.205248,0.975285,0.00414496,0,0,0,0
222,184.109,153.2424,DPDK,0.820893,0.205223,0.97527,0.00445873,0,0,0,0
223,193.7043,152.0891,DPDK,0.820962,0.20524,0.975281,0.00423822,0,0,0,0
224,199.5821,150.0916,DPDK,0.821002,0.205251,0.975288,0.00411361,0,0,0,0
225,185.8992,150.5186,DPDK,0.820906,0.205227,0.975272,0.00441587,0,0,0,0
