step,actual_traffic_mbps,predicted_traffic_mbps,upf_config,power_w,energy_wh,qos,sec,qos_violation,type_switch,scale_event,cooldown_blocked
197,186.8416,139.9163,DPDK,0.820913,0.205228,0.975274,0.00439363,0,0,0,0
198,184.8816,148.2475,DPDK,0.820899,0.205225,0.975269,0.00444013,0,0,0,0
199,196.5148,152.427,DPDK,0.820981,0.205245,0.975284,0.00417771,0,0,0,0
200,166.4016,153.0728,DPDK,0.820755,0.205189,0.975255,0.00493237,0,0,0,0
201,159.7488,150.1149,DPDK,0.820696,0.205174,0.975252,0.00513742,0,0,0,0
202,142.1477,146.3451,DPDK,0.82052,0.20513,0.975206,0.00577231,0,0,0,0
203,154.7196,139.8341,DPDK,0.82065,0.205162,0.975248,0.00530411,0,0,0,0
204,121.4509,130.7754,DPDK,0.820229,0.205057,0.975017,0.00675359,0,0,0,0
205,97.3637,121.0041,DPDK,0.819769,0.204942,0.974881,0.00841966,0,0,0,0
206,93.2971,113.3904,DPDK,0.819687,0.204922,0.974838,0.00878577,0,0,0,0
207,114.2983,106.7487,DPDK,0.820102,0.205026,0.974995,0.0071751,0,0,0,0
208,100.2348,103.0367,DPDK,0.819829,0.204957,0.974914,0.00817908,0,0,0,0
209,122.0044,102.0933,DPDK,0.820239,0.20506,0.975027,0.00672303,0,0,0,0
210,131.6181,101.811,DPDK,0.820392,0.205098,0.97512,0.00623312,0,0,0,0
211,116.9332,102.1146,DPDK,0.82015,0.205037,0.974996,0.00701383,0,0,0,0
212,118.6201,103.9948,DPDK,0.82018,0.205045,0.974995,0.00691434,0,0,0,0
213,135.9923,107.3735,DPDK,0.820448,0.205112,0.975157,0.00603305,0,0,0,0
214,147.0607,110.6401,DPDK,0.820574,0.205143,0.97524,0.00557983,0,0,0,0
215,138.8869,113.1154,DPDK,0.820484,0.205121,0.975177,0.00590757,0,0,0,0
216,133.8758,116.2662,DPDK,0.820421,0.205105,0.975138,0.00612823,0,0,0,0
217,152.9969,119.6672,DPDK,0.820634,0.205158,0.975242,0.00536373,0,0,0,0
218,156.4288,123.7841,DPDK,0.820666,0.205166,0.975246,0.00524626,0,0,0,0
219,169.4836,127.3614,DPDK,0.820781,0.205195,0.975257,0.00484284,0,0,0,0
220,163.7515,129.8256,DPDK,0.820732,0.205183,0.975252,0.00501206,0,0,0,0
221,158.6595,129.7053,DPDK,0.820686,0.205172,0.975248,0.00517263,0,0,0,0
222,137.433,129.2648,DPDK,0.820466,0.205116,0.975168,0.00596993,0,0,0,0
223,152.3701,126.6746,DPDK,0.820628,0.205157,0.97524,0.00538575,0,0,0,0
224,127.0126,125.1315,DPDK,0.820325,0.205081,0.975075,0.00645861,0,0,0,0
225,152.8206,126.076,DPDK,0.820632,0.205158,0.975242,0.00536991,0,0,0,0
226,176.777,129.532,DPDK,0.820838,0.20521,0.975261,0.00464335,0,0,0,0
227,192.8659,133.2619,DPDK,0.820956,0.205239,0.97528,0.00425661,0,0,0,0
228,183.4236,136.864,DPDK,0.820888,0.205222,0.975269,0.00447537,0,0,0,0
229,184.9905,140.0955,DPDK,0.8209,0.205225,0.975271,0.00443752,0,0,0,0
230,187.2128,140.5157,DPDK,0.820916,0.205229,0.975276,0.00438493,0,0,0,0
231,159.4889,140.2903,DPDK,0.820694,0.205173,0.97525,0.00514577,0,0,0,0
232,171.9913,141.3342,DPDK,0.820801,0.2052,0.97526,0.00477234,0,0,0,0
233,194.1383,145.5657,DPDK,0.820965,0.205241,0.975278,0.00422876,0,0,0,0
234,228.2632,152.0898,DPDK,0.821184,0.205296,0.975311,0.00359753,0,0,0,0
235,241.5105,159.3644,DPDK,0.821261,0.205315,0.975326,0.00340052,0,0,0,0
236,244.6593,166.5748,DPDK,0.821278,0.20532,0.975309,0.00335682,0,0,0,0
237,249.5854,172.5863,DPDK,0.821305,0.205326,0.975279,0.00329068,0,0,0,0
238,247.2396,178.596,DPDK,0.821292,0.205323,0.975295,0.00332185,0,0,0,0
239,265.0201,181.6108,DPDK,0.821386,0.205347,0.9752,0.00309934,0,0,0,0
240,240.3234,175.8011,DPDK,0.821254,0.205313,0.975323,0.00341729,0,0,0,0
241,158.5498,165.7433,DPDK,0.820685,0.205171,0.975247,0.0051762,0,0,0,0
242,155.0357,153.5706,DPDK,0.820653,0.205163,0.975247,0.00529331,0,0,0,0
243,144.847,141.0882,DPDK,0.82055,0.205137,0.975231,0.00566494,0,0,0,0
244,138.5144,129.4375,DPDK,0.820479,0.20512,0.975174,0.00592342,0,0,0,0
245,132.9855,121.332,DPDK,0.82041,0.205102,0.975128,0.00616917,0,0,0,0
246,156.1044,114.915,DPDK,0.820663,0.205166,0.975245,0.00525714,0,0,0,0
247,143.2506,107.7583,DPDK,0.820533,0.205133,0.975214,0.00572795,0,0,0,0
