t,rule_power,ff_power,ff_lower_or_equal,ff_vs_rule
237,0.8213863372802732,0.8213050365447998,True,FF <= Rule
238,0.8212538361549376,0.8212922215461731,False,FF > Rule
239,0.8206851482391356,0.8213863372802734,False,FF > Rule
240,0.8206527829170224,0.8212538361549377,False,FF > Rule
241,0.8205499053001404,0.8206851482391357,False,FF > Rule
242,0.8204792737960812,0.8206527829170227,False,FF > Rule
243,0.8204095959663388,0.8205499053001404,False,FF > Rule
244,0.8206627368927,0.8204792737960815,True,FF <= Rule
245,0.820532500743866,0.8204095959663391,True,FF <= Rule
246,0.820030093193054,0.8206626772880554,False,FF > Rule
247,0.8197675347328184,0.820532500743866,False,FF > Rule
248,0.8196085691452024,0.8200300931930542,False,FF > Rule
249,0.8195783495903012,0.8197675347328186,False,FF > Rule
250,0.6655336022377012,0.8196085691452026,False,FF > Rule
251,0.6443406939506529,0.8195783495903015,False,FF > Rule
252,0.6258313059806824,0.8194605708122253,False,FF > Rule
253,0.6301015615463256,0.6443407535552979,False,FF > Rule
254,0.5787548422813416,0.6258313655853271,False,FF > Rule
255,0.4586779177188872,0.6301016211509705,False,FF > Rule
256,0.3633593022823332,0.5787549018859863,False,FF > Rule
257,0.489883869886398,0.4586779475212097,True,FF <= Rule
258,0.294767826795578,0.3633593320846557,False,FF > Rule
259,0.4212523996829984,0.4898838996887207,False,FF > Rule
260,0.3091448247432708,0.2947678565979004,True,FF <= Rule
261,0.2080242186784744,0.421252429485321,False,FF > Rule
262,0.2481607943773268,0.3091448545455932,False,FF > Rule
263,0.1853953152894972,0.208024263381958,False,FF > Rule
264,0.175548270344734,0.2481608390808105,False,FF > Rule
265,0.2093921452760696,0.1853953599929809,True,FF <= Rule
266,0.1392375975847244,0.1755483150482177,False,FF > Rule
267,0.1077589616179464,0.2093921899795532,False,FF > Rule
268,0.2176086455583572,0.139237642288208,True,FF <= Rule
269,0.185778334736824,0.1077589988708496,True,FF <= Rule
270,0.2107160836458204,0.2176086902618408,False,FF > Rule
271,0.22853846848011,0.1857783794403076,True,FF <= Rule
272,0.3296371400356292,0.2322697639465332,True,FF <= Rule
273,0.413322418928146,0.3291614055633545,True,FF <= Rule
274,0.4006901681423184,0.4053518772125244,False,FF > Rule
275,0.5761600136756896,0.4502608776092529,True,FF <= Rule
276,0.619840621948242,0.4403915405273437,True,FF <= Rule
277,0.5664281845092772,0.4668622016906738,True,FF <= Rule
278,0.5520964860916135,0.5388047695159912,True,FF <= Rule
279,0.6974888443946836,0.4594740867614746,True,FF <= Rule
280,0.819623291492462,0.4556152820587158,True,FF <= Rule
281,0.8197913765907288,0.6197292804718018,True,FF <= Rule
282,0.819672346115112,0.7489261627197266,True,FF <= Rule
283,0.8200815320014953,0.8880575895309448,False,FF > Rule
284,0.8199800848960876,0.8087666034698486,True,FF <= Rule
285,0.8201596736907956,1.0473898649215698,False,FF > Rule
286,0.8200840950012204,0.9926763772964478,False,FF > Rule
287,0.8204083442687988,1.086180329322815,False,FF > Rule
288,0.8203228712081908,1.0486156940460205,False,FF > Rule
289,0.8204401731491088,0.8204083442687988,True,FF <= Rule
290,0.8203036785125732,0.8203228712081909,False,FF > Rule
291,0.8202028274536132,0.8204401731491089,False,FF > Rule
292,0.8204051852226256,0.8203036785125732,True,FF <= Rule
293,0.8205112814903256,0.8202028274536133,True,FF <= Rule
294,0.8207553625106812,0.8204051852226257,True,FF <= Rule
295,0.8207777142524716,0.8205112218856812,True,FF <= Rule
296,0.8204417824745176,0.8207553029060364,False,FF > Rule
297,0.8205646276473996,0.8207776546478271,False,FF > Rule
298,0.820421814918518,0.820441722869873,False,FF > Rule
299,0.8206188678741452,0.8205646276473999,True,FF <= Rule
300,0.8207338452339172,0.8204218149185181,True,FF <= Rule
301,0.8207750320434568,0.8206188678741455,True,FF <= Rule
302,0.820661664009094,0.8207338452339172,False,FF > Rule
303,0.8207705616950988,0.820775032043457,False,FF > Rule
304,0.820546805858612,0.8206616640090942,False,FF > Rule
305,0.8206886053085324,0.8207705616950989,False,FF > Rule
306,0.8208737373352047,0.8205468058586121,True,FF <= Rule
307,0.8207996487617492,0.8206886053085327,True,FF <= Rule
308,0.8204949498176572,0.8208737373352051,False,FF > Rule
309,0.8206223249435424,0.8207995891571045,False,FF > Rule
310,0.82077819108963,0.8204949498176575,True,FF <= Rule
311,0.8207318782806396,0.8206223249435425,True,FF <= Rule
312,0.820845067501068,0.8207781910896301,True,FF <= Rule
313,0.8206700682640076,0.8207318186759949,False,FF > Rule
314,0.8206380009651184,0.8208450675010681,False,FF > Rule
315,0.820724070072174,0.8206700682640076,True,FF <= Rule
316,0.82071316242218,0.8206380009651184,True,FF <= Rule
317,0.8206271529197692,0.8207240700721741,False,FF > Rule
318,0.820445656776428,0.8207131624221802,False,FF > Rule
319,0.820422887802124,0.8206271529197693,False,FF > Rule
320,0.8206061124801636,0.8204456567764282,True,FF <= Rule
321,0.8205980658531188,0.8204228281974792,True,FF <= Rule
322,0.8209981322288512,0.8206060528755188,True,FF <= Rule
323,0.8209596872329712,0.8205980658531189,True,FF <= Rule
324,0.8210352659225464,0.8209981322288513,True,FF <= Rule
325,0.8211431503295896,0.8209596872329712,True,FF <= Rule
326,0.8212012052536009,0.8210352063179016,True,FF <= Rule
327,0.8212673664093016,0.8211431503295898,True,FF <= Rule
328,0.8211387395858764,0.8212012052536011,False,FF > Rule
329,0.8212958574295044,0.8212673664093018,True,FF <= Rule
330,0.821272611618042,0.8211387395858765,True,FF <= Rule
331,0.821089506149292,0.8212957978248596,False,FF > Rule
332,0.821129024028778,0.821272611618042,False,FF > Rule
333,0.821059226989746,0.821089506149292,False,FF > Rule
334,0.8209279775619504,0.8211290240287781,False,FF > Rule
335,0.8202784061431884,0.8210592269897461,False,FF > Rule
336,0.8205664753913876,0.8209279775619507,False,FF > Rule
337,0.8205148577690125,0.8202784061431885,True,FF <= Rule
338,0.8203927874565125,0.8205664157867432,False,FF > Rule
339,0.8201746940612792,0.8205148577690125,False,FF > Rule
340,0.8196552991867064,0.8203927278518677,False,FF > Rule
341,0.819541037082672,0.8201746940612793,False,FF > Rule
342,0.819533348083496,0.8196552991867065,False,FF > Rule
343,0.5664238929748532,0.7240442633628845,False,FF > Rule
344,0.5534121990203856,0.7178128957748413,False,FF > Rule
345,0.543993592262268,0.5664239525794983,False,FF > Rule
346,0.4776308238506316,0.5534122586250305,False,FF > Rule
347,0.5509096980094907,0.5439936518669128,True,FF <= Rule
348,0.420776218175888,0.4776308536529541,False,FF > Rule
349,0.3086900413036344,0.5509097576141357,False,FF > Rule
350,0.2595137059688568,0.4207762479782104,False,FF > Rule
351,0.2570550143718716,0.308690071105957,False,FF > Rule
352,0.2367985993623732,0.2595137357711792,False,FF > Rule
353,0.2192151099443432,0.257066011428833,False,FF > Rule
354,0.2481920272111892,0.2367986440658569,True,FF <= Rule
355,0.2360398322343824,0.2192151546478271,True,FF <= Rule
356,0.2339744120836256,0.2481920719146728,False,FF > Rule
357,0.2319163829088208,0.2360398769378662,False,FF > Rule
358,0.1992531567811964,0.2339744567871093,False,FF > Rule
359,0.2259801179170608,0.2319164276123047,False,FF > Rule
360,0.2296030074357984,0.1992532014846801,True,FF <= Rule
361,0.2281720191240308,0.2259801626205444,True,FF <= Rule
362,0.3869472444057464,0.2296030521392822,True,FF <= Rule
363,0.4069444835186004,0.2281720638275146,True,FF <= Rule
364,0.3097717463970184,0.3869472742080688,False,FF > Rule
365,0.4932809770107268,0.4069445133209228,True,FF <= Rule
366,0.5131728649139404,0.3097717761993408,True,FF <= Rule
367,0.5329044461250304,0.4932810068130493,True,FF <= Rule
368,0.5521305203437804,0.4498186111450195,True,FF <= Rule
369,0.662816762924194,0.4526348114013672,True,FF <= Rule
370,0.6989086270332336,0.4556102752685547,True,FF <= Rule
371,1.088412880897522,0.6151061058044434,True,FF <= Rule
372,0.8205628395080564,0.619795560836792,True,FF <= Rule
373,0.8191681504249572,1.0994497537612915,False,FF > Rule
374,0.8193981647491452,1.3223400115966797,False,FF > Rule
375,0.8194408416748044,0.4738287925720215,True,FF <= Rule
376,0.8196161389350888,0.5594515800476074,True,FF <= Rule
377,0.8194608092308044,0.6022531986236572,True,FF <= Rule
378,0.8193094134330748,0.739128589630127,True,FF <= Rule
379,0.8191956877708432,0.6171262264251709,True,FF <= Rule
380,0.8195577263832092,0.4655094146728515,True,FF <= Rule
381,0.6407808661460876,0.4560480117797851,True,FF <= Rule
382,0.565554678440094,0.6634187698364258,False,FF > Rule
