t,power,model,source_file
123,0.8211041688919067,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
124,0.820740818977356,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
125,0.8208307027816772,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
126,0.8209315538406372,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
127,0.8207828998565674,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
128,0.8209185600280762,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
129,0.820921003818512,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
130,0.820745050907135,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
131,0.8211095333099365,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
132,0.821201503276825,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
133,0.8211587071418762,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
134,0.8214423060417175,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
135,0.8215359449386597,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
136,0.821501612663269,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
137,0.82161545753479,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
138,0.8215668797492981,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
139,0.8216506838798523,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
140,0.821388304233551,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
141,0.8212496638298035,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
142,0.8212591409683228,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
143,0.8209695816040039,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
144,0.8206528425216675,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
145,0.8207225203514099,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
146,0.8206086754798889,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
147,0.820503830909729,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
148,0.8204410076141357,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
149,0.8201919198036194,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
150,0.8195720314979553,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
151,0.8195399641990662,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
152,0.8194710612297058,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
153,0.5054035186767578,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
154,0.5473095178604126,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
155,0.4934902787208557,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
156,0.5085024237632751,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
157,0.4646859765052795,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
158,0.4526638388633728,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
159,0.2680957317352295,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
160,0.3023275136947632,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
161,0.8542764186859131,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
162,0.6364476084709167,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
163,0.3225443363189697,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
164,0.4257221817970276,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
165,0.2276146411895752,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
166,0.2283231019973755,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
167,0.2252249717712402,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
168,0.2173539400100708,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
169,0.3095433712005615,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
170,0.2364284992218017,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
171,0.2252168655395507,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
172,0.4439129829406738,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
173,0.4564757347106933,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
174,0.7041683197021484,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
175,0.7112758159637451,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
176,0.5610740184783936,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
177,0.7391080856323242,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
178,0.7172040939331055,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
179,0.7621464729309082,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
180,0.9679107666015624,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
181,0.6235687732696533,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
